Prob_Size,Circ_Gen_Time,Toff_Decomp_Time,CliffT_Decomp_Time,Write_Out_Toff_Time,Write_Out_CliffT_Time,Ttl_Qubits,Anc_Qubits,Ctl_Qubits,Circ_Depth_Toff,Circ_Depth_cliffT
4,0.0015521049499511719,0.06749176979064941,1.2232317924499512,-1,-1,11,3,3,383,15254
8,0.0012249946594238281,0.04922008514404297,1.1457562446594238,-1,-1,15,3,3,383,15242
16,0.0012905597686767578,0.11474251747131348,1.156806230545044,-1,-1,23,3,3,383,15352
32,0.002280712127685547,0.04804801940917969,1.033663034439087,-1,-1,39,3,3,383,15257
64,0.0017535686492919922,0.06345033645629883,1.1999552249908447,-1,-1,71,3,3,383,15259
128,0.00193023681640625,0.08207440376281738,1.047764778137207,-1,-1,135,3,3,383,15191
256,0.0038895606994628906,0.07587313652038574,1.1984069347381592,-1,-1,263,3,3,383,15224
512,0.003823518753051758,0.10901713371276855,1.0946898460388184,-1,-1,519,3,3,383,15315
1024,0.007147312164306641,0.19593024253845215,1.1643099784851074,-1,-1,1031,3,3,383,15261
4,0.0012402534484863281,0.05983400344848633,1.193070411682129,4.76837158203125e-07,0.44963979721069336,11,3,3,383,15248
8,0.0011212825775146484,0.049901485443115234,1.0634558200836182,7.152557373046875e-07,0.445831298828125,15,3,3,383,15298
16,0.0021486282348632812,0.05549168586730957,1.2461843490600586,4.76837158203125e-07,0.4612703323364258,23,3,3,383,15398
32,0.0012700557708740234,0.05425286293029785,1.2753047943115234,9.5367431640625e-07,0.44045376777648926,39,3,3,383,15378
64,0.0014684200286865234,0.06290078163146973,1.201411485671997,4.76837158203125e-07,0.4353969097137451,71,3,3,383,15342
128,0.0027027130126953125,0.07364296913146973,1.0576879978179932,7.152557373046875e-07,0.4354405403137207,135,3,3,383,15226
256,0.0036377906799316406,0.0868988037109375,1.1566386222839355,1.1920928955078125e-06,0.4323585033416748,263,3,3,383,15337
512,0.003849029541015625,0.12188506126403809,1.0677108764648438,7.152557373046875e-07,0.46002626419067383,519,3,3,383,15315
1024,0.008314371109008789,0.20755577087402344,1.2355706691741943,7.152557373046875e-07,0.44095730781555176,1031,3,3,383,15297
